Period,Statistic,Key,Value
2013-06,Operating Systems,Android,4437
2013-06,Operating Systems,Bada,4
2013-06,Operating Systems,BlackBerry,56
2013-06,Operating Systems,Chrome OS,1
2013-06,Operating Systems,Firefox OS,6
2013-06,Operating Systems,iOS,13215
2013-06,Operating Systems,Linux,1203
2013-06,Operating Systems,Macintosh,6639
2013-06,Operating Systems,Nokia,15
2013-06,Operating Systems,(not set),48
2013-06,Operating Systems,Samsung,2
2013-06,Operating Systems,Series40,8
2013-06,Operating Systems,Sony,10
2013-06,Operating Systems,SunOS,5
2013-06,Operating Systems,SymbianOS,47
2013-06,Operating Systems,Windows,33433
2013-06,Operating Systems,Windows Phone,107
2013-07,Operating Systems,Android,4289
2013-07,Operating Systems,Bada,1
2013-07,Operating Systems,BlackBerry,76
2013-07,Operating Systems,Chrome OS,140
2013-07,Operating Systems,Firefox OS,7
2013-07,Operating Systems,iOS,12604
2013-07,Operating Systems,Linux,1027
2013-07,Operating Systems,Macintosh,7100
2013-07,Operating Systems,Nintendo Wii,1
2013-07,Operating Systems,Nokia,15
2013-07,Operating Systems,(not set),61
2013-07,Operating Systems,OpenBSD,3
2013-07,Operating Systems,Samsung,2
2013-07,Operating Systems,Series40,9
2013-07,Operating Systems,Sony,3
2013-07,Operating Systems,SymbianOS,70
2013-07,Operating Systems,Windows,48134
2013-07,Operating Systems,Windows Phone,191
2013-08,Operating Systems,Android,5366
2013-08,Operating Systems,Bada,1
2013-08,Operating Systems,BlackBerry,82
2013-08,Operating Systems,Chrome OS,33
2013-08,Operating Systems,Firefox OS,9
2013-08,Operating Systems,iOS,15162
2013-08,Operating Systems,Linux,1558
2013-08,Operating Systems,Macintosh,10424
2013-08,Operating Systems,Nokia,17
2013-08,Operating Systems,(not set),70
2013-08,Operating Systems,Samsung,8
2013-08,Operating Systems,Series40,19
2013-08,Operating Systems,SymbianOS,54
2013-08,Operating Systems,Windows,65854
2013-08,Operating Systems,Windows Phone,208
2013-09,Operating Systems,Android,6401
2013-09,Operating Systems,Bada,1
2013-09,Operating Systems,BlackBerry,88
2013-09,Operating Systems,Chrome OS,60
2013-09,Operating Systems,Firefox OS,1
2013-09,Operating Systems,FreeBSD,1
2013-09,Operating Systems,iOS,16948
2013-09,Operating Systems,Linux,1643
2013-09,Operating Systems,Macintosh,11154
2013-09,Operating Systems,Nokia,27
2013-09,Operating Systems,(not set),69
2013-09,Operating Systems,OpenBSD,4
2013-09,Operating Systems,Playstation 3,1
2013-09,Operating Systems,Samsung,18
2013-09,Operating Systems,Series40,19
2013-09,Operating Systems,SymbianOS,26
2013-09,Operating Systems,UNIX,2
2013-09,Operating Systems,Windows,60691
2013-09,Operating Systems,Windows Phone,174
2013-10,Operating Systems,Android,7994
2013-10,Operating Systems,Bada,3
2013-10,Operating Systems,BlackBerry,87
2013-10,Operating Systems,Chrome OS,32
2013-10,Operating Systems,iOS,20834
2013-10,Operating Systems,Linux,1568
